Kategori,Sıra,Ürün Adı,Fiyat,Link
Bilgisayar,#28,"Thermal Grizzly - Kryonaut Termal Macun - Bilgisayar ve Konsollardaki tüm İşlemcileri, Grafik Kartlarını ve ısı Alıcıları Soğutmak İçin (1 gram)","369,00 TL",https://www.amazon.com.tr/Thermal-Grizzly-Bilgisayar-Konsollardaki-%C4%B0%C5%9Flemcileri/dp/B011F7W3LU/ref=zg_bs_g_computers_d_sccl_28/262-9629842-5424116?psc=1
Bilgisayar,#29,"Razer DeathAdder V3 - Ergonomik Esports Fare (59 g Hafif Tasarım, Ergonomik Şekil, 30K Optik Sensör, Optik Fare Anahtarı Gen-3, 8000Hz HyperPolling Teknolojisi, Speedflex Kablo) Siyah","1.999,00 TL",https://www.amazon.com.tr/Razer-DeathAdder-Ergonomik-HyperPolling-Teknolojisi/dp/B09ZLTV8B3/ref=zg_bs_g_computers_d_sccl_29/262-9629842-5424116?psc=1
Bilgisayar,#30,Spigen USB-C to USB-C 1 Metre Kablo 60W Güç/PPS 2.0 Desteği Super Hızlı Şarj / 480 Mbps Data Aktarım Hızı Type-C Ekstra Dayanıklı White - ACA08717,"199,90 TL",https://www.amazon.com.tr/Spigen-Deste%C4%9Fi-Aktar%C4%B1m-Type-C-Dayan%C4%B1kl%C4%B1/dp/B0F2MH3GFW/ref=zg_bs_g_computers_d_sccl_30/262-9629842-5424116?psc=1
Bilgisayar,#31,Apple 20 W USB-C Güç Adaptörü (Apple Türkiye Garantili),"849,00 TL",https://www.amazon.com.tr/Apple-20-USB-C-G%C3%BC%C3%A7-Adapt%C3%B6r%C3%BC/dp/B0CX2419ZB/ref=zg_bs_g_computers_d_sccl_31/262-9629842-5424116?psc=1
Bilgisayar,#32,"KIOXIA TransMemory U202 64GB USB Bellek – USB 2.0, Beyaz",Fiyat Yok,https://www.amazon.com.tr/KIOXIA-64GB-BEYAZ-FLASH-BELLEK/dp/B088PFC4JW/ref=zg_bs_g_computers_d_sccl_32/262-9629842-5424116?psc=1
Bilgisayar,#33,"Logitech Pebble Keys 2 K380s Kablosuz Klavye, Çoklu Cihaz Özellikli, Kişiselleştirilebilir Kısa Yollar, Bluetooth, Taşınabilir, Windows, macOS, iPadOS, Android, Chrome OS, Easy-Switch, Türkçe Q, Siyah","1.386,00 TL",https://www.amazon.com.tr/Logitech-Pebble-%C3%96zellikli-Bluetooth-T%C3%BCrk%C3%A7e/dp/B07W6JJ257/ref=zg_bs_g_computers_d_sccl_33/262-9629842-5424116?psc=1
Bilgisayar,#34,Baseus Crystal Shine 20W Type-C to Lightning Kablo 1.2m-Mor,"298,00 TL",https://www.amazon.com.tr/Baseus-Crystal-Type-C-Lightning-1-2m-Mor/dp/B0B74LQ8X6/ref=zg_bs_g_computers_d_sccl_34/262-9629842-5424116?psc=1
Bilgisayar,#35,Baseus Cafule 100W Type-C to C Kbl 2m-Gr,"220,00 TL",https://www.amazon.com.tr/Baseus-Cafule-Serisi-Type-C-Kablosu/dp/B01M1FE0MB/ref=zg_bs_g_computers_d_sccl_35/262-9629842-5424116?psc=1
Bilgisayar,#36,North Bayou NB F80 17-32inch Amortisörlü 2-9 kg Monitör Standı 2026 Versiyon (Matte Charcoal),Fiyat Yok,https://www.amazon.com.tr/F80-17-32inch-Amortis%C3%B6rl%C3%BC-Versiyon-Charcoal/dp/B0FMK7H6HQ/ref=zg_bs_g_computers_d_sccl_36/262-9629842-5424116?psc=1
Bilgisayar,#37,MACK MCC-4008 2.5 Hard Disk Kılıfı Siyah Turuncu,"289,00 TL",https://www.amazon.com.tr/MACK-MCC-4008-K%C4%B1l%C4%B1f%C4%B1-Siyah-Turuncu/dp/B0BMTXYV8K/ref=zg_bs_g_computers_d_sccl_37/262-9629842-5424116?psc=1
Bilgisayar,#38,"SanDisk Extreme PRO SDXC UHS-I Hafıza Kartı, 128 GB, 200 MB/sn Aktarım Hızı, U3: UHS Speed Sınıf, V30: Speed Sınıf, 4K UHD Videolar, QuickFlow Teknolojisi, Isıya Dayanıklı","863,04 TL",https://www.amazon.com.tr/SanDisk-Extreme-UHS-I-Haf%C4%B1za-Aktar%C4%B1m/dp/B09X7FXHVJ/ref=zg_bs_g_computers_d_sccl_38/262-9629842-5424116?psc=1
Elektronik,#1,URUCHI iPhone 16e / 14/13 Pro / 13 İle Uyumlu PREMIUM Hizalama Aparatlı ve Takılırken Camın Altında Kesinlikle Toz Bırakmayan Darbelere Karşı Ekstra Güçlü HD Ekran Koruyucu Cam,"199,90 TL",https://www.amazon.com.tr/URUCHI-Tak%C4%B1l%C4%B1rken-Kesinlikle-B%C4%B1rakmayan-Darbelere/dp/B0CK193FMN/ref=zg_bs_g_electronics_d_sccl_1/262-9629842-5424116?psc=1
